time,open,high,low,close,Volume
1697131800,434.9029165932132,434.9029165932132,431.23,433.16125,7392171
1697203800,434.03208329660663,436.45,430.14,432.99875,8571244
1697218200,433.5154166483033,433.5154166483033,429.89,431.02,7327482
1697463000,432.2677083241516,437.14,432.2677083241516,435.0425,7815950
1697477400,433.6551041620758,436.96,433.6551041620758,436.03,5702633
1697549400,434.84255208103787,438.14,432.46,434.945,7954912
1697563800,434.8937760405189,436.37,434.225,435.75,5605106
1697635800,435.32188802025945,435.32188802025945,431.09,433.36,9310168
1697650200,434.34094401012976,434.34094401012976,429.095,431.39625,7508779
1697722200,432.8685970050649,432.8685970050649,427.72,430.6725,12305103
1697736600,431.77054850253245,431.77054850253245,425.73,428.78375,10354626
1697808600,430.2771492512662,430.2771492512662,421.91,424.65250000000003,11082172
1697823000,427.4648246256331,427.4648246256331,421.08,422.7775,8107802
1698067800,425.1211623128165,425.1211623128165,417.805,421.18625,9038061
1698082200,423.15370615640825,423.855,420.24,421.86125000000004,6811760
1698154200,422.50747807820414,424.81,420.74,422.5875,8753296
1698168600,422.54748903910206,424.17,421.81,422.94000000000005,5153806
1698240600,422.74374451955106,422.74374451955106,417.77,419.8775,10346464
1698255000,421.3106222597755,421.3106222597755,417.015,417.74625000000003,6603046
1698327000,419.5284361298878,419.5284361298878,411.97,414.4975,10510629
1698341400,417.0129680649439,417.0129680649439,411.6,413.095,7574329
1698413400,415.05398403247193,415.05398403247193,410.31,412.4625,9501059
1698427800,413.75824201623595,413.75824201623595,409.215,410.475,8494168
1698672600,412.116621008118,415.345,412.116621008118,414.03375,7964866
1698687000,413.075185504059,416.68,413.075185504059,415.48,7395882
1698759000,414.2775927520295,417.15,414.22,416.135,6778346
1698773400,415.20629637601473,418.5,415.20629637601473,417.6775,6068060
1698845400,416.44189818800737,421.9,416.44189818800737,419.895,7476140
1698859800,418.1684490940037,423.5,418.1684490940037,421.2725,9602026
1698931800,419.7204745470018,429.82,419.7204745470018,428.15250000000003,9014735
1698946200,423.9364872735009,430.91,423.9364872735009,430.23125,5918227
1699018200,427.0838686367505,435.9,427.0838686367505,434.2875,9600750
1699032600,430.68568431837525,436.29,430.68568431837525,435.19000000000005,6420001
1699281000,432.93784215918765,436.14,432.93784215918765,434.88,5979390
1699295400,433.9089210795938,435.73,433.71,434.82750000000004,5362301
1699367400,434.3682105397969,437.51,434.3682105397969,436.1875,6215385
1699381800,435.27785526989845,437.58,435.27785526989845,436.9275,4692943
1699453800,436.10267763494926,438.09,434.88,436.7175,6406094
1699468200,436.4100888174746,437.79,436.33,436.9275,4275060
1699540200,436.6687944087373,438.47,435.155,437.11125000000004,7097087
1699554600,436.8900222043687,436.8900222043687,433.39,435.07000000000005,6980234
1699626600,435.98001110218433,439.22,434.43,437.1575,8013238
1699641000,436.5687555510922,440.93,436.5687555510922,439.89,6736004
1699885800,438.2293777755461,441.33,438.2293777755461,439.78,5871148
1699900200,439.004688887773,441.11,439.004688887773,440.35,2726629
1699972200,439.6773444438865,449.73,439.6773444438865,447.74249999999995,9050101
1699986600,443.7099222219432,450.06,443.7099222219432,448.845,5933593
1700058600,446.2774611109716,451.37,446.2774611109716,450,7037333
1700073000,448.13873055548584,450.69,448.13873055548584,449.82000000000005,5792352
1700145000,448.97936527774294,450.56,448.12,449.32750000000004,6210409
1700159400,449.1534326388715,450.32,448.59,449.6375,5092194
1700231400,449.39546631943574,450.87,449.3,450.28000000000003,5350543
1700245800,449.8377331597179,451.42,449.8377331597179,450.7775,4666543
1700490600,450.307616579859,453.805,450.307616579859,452.13625,5588584
1700505000,451.2219332899295,455.12,451.2219332899295,454.1925,6016738
1700577000,452.7072166449648,453.585,451.96,452.89125,4709924
1700591400,452.7992333224824,453.64,452.79,453.1375,2890705
1700663400,452.9683666612412,456.38,452.9683666612412,455.2025,6275136
1700677800,454.0854333306206,455.62,453.935,455.03625,4177841
1700836200,454.5608416653103,455.5,454.5608416653103,455.14,3292154
1701095400,454.8504208326551,455.49,454.07,454.8625,4531881
1701109800,454.85646041632754,455.37,454.12,454.8075,3944806
1701181800,454.83198020816377,456.27,453.5,454.59999999999997,6038801
1701196200,454.71599010408187,455.1,453.97,454.62250000000006,4344312
1701268200,454.669245052041,458.31,454.669245052041,456.6775,6065332
1701282600,455.6733725260205,456.34,454.2,455.36749999999995,4171564
1701354600,455.5204362630102,455.7,453.48,454.5725,6216924
1701369000,455.0464681315051,456.76,453.34,455.0125,6444418
1701441000,455.0294840657525,459.64,455.0294840657525,457.28,8789399
1701455400,456.15474203287624,459.32,456.15474203287624,458.775,4978158
1701700200,457.4648710164381,457.4648710164381,454.36,455.6625,7575070
1701714600,456.56368550821907,456.935,455.49,456.23875000000004,4100223
1701786600,456.40121775410955,457.58,454.87,456.01,6710842
1701801000,456.2056088770548,456.78,455.9,456.3974999999999,5075764
1701873000,456.3015544385273,458.83,455.6,457.4075,6063147
1701887400,456.8545272192637,456.8545272192637,454.31,455.505,5015976
1701959400,456.17976360963183,458.55,456.17976360963183,457.45625000000007,6605645
1701973800,456.8180068048159,458.89,456.8180068048159,458.2825,3641313
1702045800,457.550253402408,460.41,457.21,458.6325,6983185
1702060200,458.091376701204,460.74,458.091376701204,459.85749999999996,5186709
1702305000,458.974438350602,461.6,458.974438350602,460.55375,6286842
1702319400,459.764094175301,462.17,459.764094175301,461.735,4283079
1702391400,460.7495470876505,463.12,460.6,462.0575,5304090
1702405800,461.40352354382526,464.2,461.40352354382526,463.515,4842296
1702477800,462.4592617719126,465.33,462.4592617719126,464.5275,3901088
1702492200,463.4933808859563,470.75,463.4933808859563,467.37500000000006,12087839
1702564200,465.4341904429782,473.73,465.4341904429782,471.97249999999997,9137717
1702578600,468.7033452214891,472.06,468.7033452214891,471.04125,7229034
1702650600,469.87229761074457,470.54,468.815,469.65375,7163918
1702665000,469.7630238053723,470.7,468.44,469.5825,8572887
1702909800,469.67276190268615,472.65,469.67276190268615,471.74249999999995,5591116
1702924200,470.70763095134305,472.97,470.70763095134305,472.3675,3889983
1702996200,471.5375654756715,474.47,471.5375654756715,473.355,4865496
1703010600,472.44628273783576,474.915,472.44628273783576,474.37375,3448360
1703082600,473.41001636891787,475.89,473.41001636891787,474.79249999999996,4344782
1703097000,474.1012581844589,475.76,467.82,471.80249999999995,9934825
1703169000,472.95187909222943,472.95187909222943,468.84,470.67499999999995,8097352
1703183400,471.8134395461147,472.98,469.79,471.39000000000004,5424525
1703255400,471.60171977305737,475.38,471.60171977305737,474.34999999999997,4962249
1703269800,472.97585988652867,474.7,471.7,473.655,5372434
1703601000,473.31542994326435,475.46,473.31542994326435,474.7075,3337157
1703615400,474.01146497163217,476.575,474.01146497163217,475.65874999999994,3953267
1703687400,474.835107485816,476.67,474.835107485816,475.8575,4434314
1703701800,475.34630374290805,476.57,474.9,476.05749999999995,4323990
1703773800,475.70190187145397,477.5,475.70190187145397,476.96,3172549
1703788200,476.33095093572695,477.55,476.26,476.8825,4463539
1703860200,476.6067254678635,477.02,473.3,475.3275,7287658
1703874600,475.96711273393174,475.96711273393174,474.475,475.05125,6768157
1704205800,475.5091813669659,475.5091813669659,471.3,472.44750000000005,7621480
1704220200,473.978340683483,473.978340683483,470.49,472.17499999999995,8483030
1704292200,473.0766703417415,473.0766703417415,468.72,470.11,7162716
1704306600,471.5933351708708,471.5933351708708,468.17,469.6125,7043065
1704378600,470.6029175854354,470.96,468.11,469.17249999999996,5790262
1704393000,469.8877087927177,469.8877087927177,467.05,468.28249999999997,6270743
1704465000,469.0851043963588,470.44,466.68,468.11750000000006,7719044
1704479400,468.60130219817944,468.98,466.44,467.8025,5005457
1704724200,468.2019010990897,471.72,468.2019010990897,469.9625,6066071
1704738600,469.08220054954484,474.75,469.08220054954484,473.0125,6261734
1704810600,471.0473502747724,474.925,471.0473502747724,472.99375000000003,5707600
1704825000,472.0205501373862,474.66,472.0205501373862,473.8125,4706836
1704897000,472.9165250686931,475.925,472.9165250686931,474.814,5197626
1704911400,473.8652625343466,477.44,473.8652625343466,476.1175,5184363
1704983400,474.9913812671733,478.11,472.28,475.68,8057937
1704997800,475.33569063358664,476.97,474.62,475.6725,4722257
1705069800,475.5040953167933,478.6,475.23,477.07500000000005,5884964
1705084200,476.2895476583967,477.335,475.76,476.59875,3646230
